eps1,eps2,beta0,branch
0.5126187273541061,2.9352046429638596,200.0,forward
0.5233060724549486,2.779158957375694,200.0,forward
0.5343930113971604,2.624432771831722,200.0,forward
0.5428938345749994,2.5091535570757464,200.0,forward
0.5542872726694992,2.35626991281845,200.0,forward
0.5653747299253942,2.203895134058539,200.0,forward
0.5754485420751236,2.0512838801728934,200.0,forward
0.5832360115667864,1.8972647032487613,200.0,forward
0.5864259913742604,1.7401696464341974,200.0,forward
0.5809489783500912,1.5788688006588165,200.0,forward
0.5614982052041555,1.4181288010704785,200.0,forward
0.5264862721410919,1.2702184123594424,200.0,forward
0.48002596809635417,1.1411248394639877,200.0,forward
0.4267926085637561,1.0281196628998324,200.0,forward
0.36966869110307904,0.9267414520305199,200.0,forward
0.3102049271405871,0.833526249679457,200.0,forward
0.24925129024262363,0.7461262112937123,200.0,forward
0.19574106052636606,0.6740345980350955,200.0,forward
0.15780478719310626,0.6248813537468109,200.0,forward
0.13101362981116293,0.5909642812810688,200.0,forward
0.11261734503814616,0.5680079776729197,200.0,forward
0.1,0.5524065340581705,200.0,forward
0.08736432769222957,0.5368919519749897,200.0,backward
0.06887518958947632,0.5143756232530173,200.0,backward
0.041805684549359456,0.4817756037403896,200.0,backward
0.00317010220710887,0.4359179237330475,200.0,backward
0.0,0.43218719948936984,200.0,backward
NaN,NaN,NaN,
0.45154464963663243,2.91897412202741,220.0,forward
0.46131920377069413,2.7663583714093276,220.0,forward
0.47161807969911557,2.61558844449401,220.0,forward
0.48241019129474993,2.466639602053465,220.0,forward
0.4936130475737215,2.319398735942213,220.0,forward
0.4957488826341424,2.291945178143671,220.0,forward
0.5072099953950788,2.1463336967764173,220.0,forward
0.5184985639822594,2.0015189815379975,220.0,forward
0.5289221394651787,1.8565787349281127,220.0,forward
0.5371641860705385,1.7100009709265183,220.0,forward
0.5406547585623558,1.5593740852206879,220.0,forward
0.534406712781071,1.4024831302055945,220.0,forward
0.5117846053216489,1.2460506800253939,220.0,forward
0.47234795861958817,1.1059006827565803,220.0,forward
0.42218118226076823,0.985945710472231,220.0,forward
0.366284684245773,0.8812122845439924,220.0,forward
0.3072605820408215,0.7867363032648416,220.0,forward
0.24640332471281023,0.6991965438260439,220.0,forward
0.19423542504599006,0.6292746708044402,220.0,forward
0.15722230625458433,0.5817210820521354,220.0,forward
0.1310749557434381,0.5489466437560953,220.0,forward
0.11264316639866373,0.5261944136997242,220.0,forward
0.1,0.5107396171767484,220.0,forward
0.08733747214106269,0.49537648000097234,220.0,backward
0.06880763061121059,0.47308827394288033,220.0,backward
0.041676424015244795,0.44083248785488327,220.0,backward
0.0029504321576942385,0.3954785121076067,220.0,backward
0.0,0.39205300597742404,220.0,backward
NaN,NaN,NaN,
0.4145276536873873,2.8514561434207284,240.0,forward
0.4237004511655443,2.7026387013558786,240.0,forward
0.4334023035598917,2.5560217593735817,240.0,forward
0.4436279113806138,2.4116117076186274,240.0,forward
0.45434031385408363,2.269326775712847,240.0,forward
0.46544596501277813,2.1289679978920995,240.0,forward
0.4675599857208104,2.1028219460715634,240.0,forward
0.4788717197358134,1.964193852255338,240.0,forward
0.48990693942652436,1.8262458372259651,240.0,forward
0.49984192310316344,1.6877633882990104,240.0,forward
0.507042878999368,1.546715071037634,240.0,forward
0.5081229201683903,1.3997394870678046,240.0,forward
0.4963683339688583,1.2453184726466704,240.0,forward
0.4655724951257335,1.0970362750373963,240.0,forward
0.4195415163692682,0.9694780099791899,240.0,forward
0.3653321377265562,0.8605674288856062,240.0,forward
0.30698023548937925,0.7641797773381974,240.0,forward
0.24637392632924612,0.6759429817342514,240.0,forward
0.19426903277389312,0.6059351935241852,240.0,forward
0.15725766137295236,0.5584777391830139,240.0,forward
0.13109856638129888,0.5258207408499466,240.0,forward
0.11265398065093336,0.5031689826450538,240.0,forward
0.1,0.48778732880854375,240.0,forward
0.08732486655043199,0.4725052140757413,240.0,backward
0.06877638431349023,0.45034098241103543,240.0,backward
0.042315159606436996,0.41909874882217585,240.0,backward
0.004544523070634031,0.3751754206569534,240.0,backward
0.0,0.36993833065702864,240.0,backward
NaN,NaN,NaN,
0.3843935977082993,2.8744064570328796,260.0,forward
0.3928317800749513,2.7279407960497157,260.0,forward
0.40177193945395395,2.58389468949664,260.0,forward
0.41122647376116284,2.442314819701998,260.0,forward
0.4211913865147299,2.303180126527768,260.0,forward
0.43163372893901647,2.1663745789929836,260.0,forward
0.4424685289277643,2.031657741604023,260.0,forward
0.45075229476618744,1.9317219397545562,260.0,forward
0.4617509335552207,1.7994197886771692,260.0,forward
0.47214786455802826,1.6672282195097121,260.0,forward
0.48079227824773535,1.5334619043176374,260.0,forward
0.4852938336998293,1.395186394524676,260.0,forward
0.48042365793423064,1.248169740584905,260.0,forward
0.4577599554419322,1.0976664912652478,260.0,forward
0.4164024668855509,0.9637048220855035,260.0,forward
0.36412164444715095,0.8506562358676886,260.0,forward
0.3065368122275613,0.7522558279345064,260.0,forward
0.24623764027523365,0.663179258119923,260.0,forward
0.1942356552132602,0.5929424682770648,260.0,forward
0.15725270292757887,0.545471960489015,260.0,forward
0.13110018883713476,0.5128528790211481,260.0,forward
0.1126554857913295,0.4902448203467776,260.0,forward
0.1,0.47490205756847886,260.0,forward
0.08732280171266896,0.45965994119673814,260.0,backward
0.06876798838924084,0.437562048997135,260.0,backward
0.04229479224155836,0.4064251036915281,260.0,backward
0.004502927502724074,0.36266693237082254,260.0,backward
0.0,0.3575014030453879,260.0,backward
NaN,NaN,NaN,
0.3629683814262547,2.882019483184755,280.0,forward
0.37087618187407034,2.7379465750130514,280.0,forward
0.3792524089856602,2.59644028618535,280.0,forward
0.38811467247909487,2.4575602534602603,280.0,forward
0.3974705796873345,2.3213084650328977,280.0,forward
0.4073099662581078,2.187608682634633,280.0,forward
0.4175912915272415,2.056279015487486,280.0,forward
0.4282163467103667,1.9270008016891018,280.0,forward
0.4307387601827855,1.8969350882165077,280.0,forward
0.44149589630823427,1.7694085358948612,280.0,forward
0.45186623223773476,1.64229852070914,280.0,forward
0.46093310633924983,1.5141101837150306,280.0,forward
0.4668006480178245,1.382280700053385,280.0,forward
0.4652670257713649,1.242348959899616,280.0,forward
0.44797900752667424,1.094169204607809,280.0,forward
0.41043558849959816,0.956926967705359,280.0,forward
0.3597454046285859,0.8411530651268938,280.0,forward
0.3027540838413311,0.7414690458000109,280.0,forward
0.24267483392237632,0.6519407774652103,280.0,forward
0.19208673670607238,0.5834127410957242,280.0,forward
0.15608539155096407,0.537150494194957,280.0,forward
0.13061961431098507,0.5053793616743641,280.0,forward
0.11265658710131612,0.483365572454651,280.0,forward
0.1,0.468024605514598,280.0,forward
0.08731855349908124,0.45279689887761015,280.0,backward
0.06924315342549436,0.4312958213676191,280.0,backward
0.043452414053381565,0.4010032974899329,280.0,backward
0.006632511569206655,0.35843670918718556,280.0,backward
0.0,0.35084429498974706,280.0,backward
NaN,NaN,NaN,
0.34403876146292106,2.943071643134991,300.0,forward
0.35137173028352314,2.800284897246339,300.0,forward
0.35913273366471105,2.6601274170017977,300.0,forward
0.3673423055093315,2.5226765782670513,300.0,forward
0.3760156903612274,2.387963924231115,300.0,forward
0.38515854029131846,2.255960299414765,300.0,forward
0.39475956067422796,2.126557086092133,300.0,forward
0.40477758457579116,1.999541054973467,300.0,forward
0.4151175259854553,1.874565003333497,300.0,forward
0.4151796139208438,1.8738274922064406,300.0,forward
0.4256504549743815,1.7503317920244685,300.0,forward
0.4358714559403565,1.6274628832200269,300.0,forward
0.44509400446406056,1.503889176182238,300.0,forward
0.45178459676890254,1.377389502737249,300.0,forward
0.45258051057150095,1.2439195153596527,300.0,forward
0.440059895375596,1.1000130611282801,300.0,forward
0.4069318964139446,0.9603496037162292,300.0,forward
0.3583224295157832,0.8413378888116843,300.0,forward
0.3021654888836661,0.7398233481226283,300.0,forward
0.24243714971817487,0.6494257062036997,300.0,forward
0.19198504946389336,0.5805724563345108,300.0,forward
0.15603741105609642,0.5342012728295699,300.0,forward
0.1305964332127428,0.5023924605321983,300.0,forward
0.11264616852175297,0.4803665573717473,300.0,forward
0.1,0.4650291305175941,300.0,forward
0.08732860180429906,0.4498055494237002,300.0,backward
0.06925956608017331,0.4283123593846282,300.0,backward
0.04347472750779792,0.39804104641208504,300.0,backward
0.0066584577109978045,0.35551972371362855,300.0,backward
0.0,0.34790703675262535,300.0,backward
NaN,NaN,NaN,
0.33458241625864826,2.8868213197326584,320.0,forward
0.3417658818287406,2.7473328854889347,320.0,forward
0.3493579152147923,2.610572288370455,320.0,forward
0.35737696712066924,2.4765948000046865,320.0,forward
0.36583655950476063,2.3454086323304253,320.0,forward
0.37474135974825307,2.2169618075471873,320.0,forward
0.3840804728014975,2.091125620173734,320.0,forward
0.3938156753761688,1.9676723103064753,320.0,forward
0.4038596567025012,1.8462482130237825,320.0,forward
0.412767896801616,1.741235480279388,320.0,forward
0.42279148739064637,1.621926078320704,320.0,forward
0.43204528276376536,1.5022190094578827,320.0,forward
0.43928055846631375,1.3801947363189935,320.0,forward
0.4418123505443674,1.252401359188213,320.0,forward
0.43349011854417213,1.1139650311730922,320.0,forward
0.4054803105448724,0.9731420819904542,320.0,forward
0.3596823517401319,0.8502890394924049,320.0,forward
0.30471257003295893,0.7462278381398646,320.0,forward
0.24550862456219427,0.6544508752902525,320.0,forward
0.19393625275158483,0.5831884273452261,320.0,forward
0.15711921540368348,0.535385365368619,320.0,forward
0.13104180750696412,0.502657389674156,320.0,forward
0.11263507709019437,0.48001856848887636,320.0,forward
0.1,0.46467210933085046,320.0,forward
0.08733917418521281,0.449439275531671,320.0,backward
0.06880237795831093,0.4273732616756224,320.0,backward
0.04234492608205145,0.3963129910309263,320.0,backward
0.004560682726455239,0.352710817413937,320.0,backward
0.0,0.3475007023250066,320.0,backward
NaN,NaN,NaN,
0.32052217428256513,2.9786414528044376,340.0,forward
0.32720842101348474,2.839554310408073,340.0,forward
0.33426599856271955,2.7031808151866095,340.0,forward
0.3417138814364556,2.569591303792219,340.0,forward
0.34956852830535795,2.4388186527147147,340.0,forward
0.3578416830591175,2.3108486002267448,340.0,forward
0.3665367023081749,2.1856081853134732,340.0,forward
0.3756422925678803,2.062951084816752,340.0,forward
0.38512156458182667,1.9426375567307375,340.0,forward
0.39489190811039804,1.824309946223269,340.0,forward
0.4035546046044466,1.721979146574073,340.0,forward
0.4133114258678464,1.605727585805362,340.0,forward
0.4223601047784083,1.489127864824496,340.0,forward
0.42955862450261606,1.37038416635879,340.0,forward
0.43247758704982714,1.2463167569908415,340.0,forward
0.42554538137372994,1.111909361092957,340.0,forward
0.3997299780730228,0.9724169074398673,340.0,forward
0.3552816252774305,0.8486737741360458,340.0,forward
0.30086214772868586,0.74389122283757,340.0,forward
0.24188138937263165,0.6517998521307076,340.0,forward
0.1917338165067044,0.5822379878212376,340.0,forward
0.15591544533670126,0.5355834044559961,340.0,forward
0.13053903450018506,0.5036462301859284,340.0,forward
0.11262462346438507,0.4815566308255614,340.0,forward
0.1,0.46618571172349654,340.0,forward
0.0873475661054906,0.45093590760783814,340.0,backward
0.06930112759110119,0.4294167879427014,340.0,backward
0.043541800834470575,0.3991278558748874,340.0,backward
0.006751611927728682,0.3566114459678559,340.0,backward
0.0,0.3488920387807093,340.0,backward
NaN,NaN,NaN,
0.3141648723282153,2.949061757145218,360.0,forward
0.3207244740245034,2.812589754498881,360.0,forward
0.32763857549876646,2.678867905009715,360.0,forward
0.3349244462546688,2.5479489384918246,360.0,forward
0.3425970052422467,2.4198484959323348,360.0,forward
0.35066681829913315,2.2945367385449185,360.0,forward
0.3591367648103174,2.1719283282230157,360.0,forward
0.3679963843052562,2.0518696385157553,360.0,forward
0.377212067195173,1.9341211118181931,360.0,forward
0.3867091525602428,1.8183359658366773,360.0,forward
0.3951377841082469,1.7182327728379296,360.0,forward
0.4046631718014144,1.6045763919554716,360.0,forward
0.41358571265351207,1.4907150503088564,360.0,forward
0.42091395276500526,1.3750354928250361,360.0,forward
0.42457734692978805,1.254762027724155,360.0,forward
0.41988476101440186,1.1250797035807347,360.0,forward
0.3980148610153735,0.9871310182527949,360.0,forward
0.3564121502060533,0.8608212472708506,360.0,forward
0.3032838598151834,0.7537159086596903,360.0,forward
0.24488186987078978,0.660243049766233,360.0,forward
0.19364877845236453,0.5882127573236045,360.0,forward
0.15697788426059897,0.5400849049593894,360.0,forward
0.13097486790440113,0.5071997010498738,360.0,forward
0.1126102060414294,0.48447706772173005,360.0,forward
0.1,0.4690839576022594,360.0,forward
0.08736136773240548,0.453811484083245,360.0,backward
0.0688526324711593,0.43169930700505865,360.0,backward
0.04242794417349966,0.40059312963448906,360.0,backward
0.004679275073976515,0.35695666194618486,360.0,backward
0.0,0.35160480029643676,360.0,backward
NaN,NaN,NaN,
0.3093382509445622,2.917452766189865,380.0,forward
0.31580504362175976,2.783577615155609,380.0,forward
0.32261183275506444,2.65246784610646,380.0,forward
0.32977426421853795,2.524157876077218,380.0,forward
0.3373056619452425,2.398645554600608,380.0,forward
0.3452151182290428,2.2758848105448126,380.0,forward
0.3535043268485954,2.1557767930870497,380.0,forward
0.3621622406186202,2.038158400822896,380.0,forward
0.3711558612974563,1.9227862350642242,380.0,forward
0.38041354995447235,1.8093172506675905,380.0,forward
0.38921075881018385,1.7042257152543883,380.0,forward
0.39847466988149366,1.5928494315705917,380.0,forward
0.40713663271930145,1.4812317611090582,380.0,forward
0.4142466608039533,1.3678253753962137,380.0,forward
0.41784018836867953,1.250004014789608,380.0,forward
0.4135142941723155,1.1231656900269917,380.0,forward
0.3927367543787893,0.9872987242889938,380.0,forward
0.35211227857969735,0.8611023262180644,380.0,forward
0.2994477608573315,0.7536728998904763,380.0,forward
0.24125001448566932,0.660014777891477,380.0,forward
0.19143546440755735,0.5897226966530237,380.0,forward
0.15576573215284328,0.5427393109892652,380.0,forward
0.1304671058284206,0.5106336703758371,380.0,forward
0.11259762047633089,0.48844960448140595,380.0,forward
0.1,0.47302096237007357,380.0,forward
0.08737164126467133,0.45772130595809174,380.0,backward
0.06935639180371848,0.43614271790490106,380.0,backward
0.043634443768510424,0.40578759693544947,380.0,backward
0.006886483247909258,0.36320655591360823,380.0,backward
0.0,0.35531653552896625,380.0,backward
NaN,NaN,NaN,
