eps1,eps2,beta0
0.10641472692715337,3.0,175.0
0.10763765406537219,2.930530269375709,175.0
0.10890859956826195,2.8600237998547846,175.0
0.11021120217201603,2.789536731101757,175.0
0.11154763532827582,2.7190714085896475,175.0
0.11292029034296876,2.6486305210774175,175.0
0.1143318043222039,2.5782171592847853,175.0
0.11578509239871644,2.507834885918707,175.0
0.11728338498044916,2.437487819457836,175.0
0.11883027089930907,2.367180734636489,175.0
0.12042974749840378,2.2969191832201523,175.0
0.12208627888242028,2.226709639448856,175.0
0.1238048637694605,2.156559675459004,175.0
0.12559111462233855,2.086478173087173,175.0
0.12745134999750302,2.016475579702746,175.0
0.12939270231629826,1.9465642170675996,175.0
0.13142324350862758,1.8767586535764325,175.0
0.13355213115221692,1.8070761513764477,175.0
0.13578977774099688,1.7375372003977247,175.0
0.13814804541083392,1.6681661505332905,175.0
0.14064046757180024,1.5989919498719907,175.0
0.14328249701801357,1.5300489890018696,175.0
0.14609177650836214,1.4613780357579669,175.0
0.14908842138181358,1.393027216461844,175.0
0.15229529257408306,1.3250529514449985,175.0
0.15573821918634506,1.2575206744963663,175.0
0.1594460968045968,1.1905050450658594,175.0
0.16345072720424786,1.1240891909977186,175.0
0.16778618260840353,1.058362249555535,175.0
0.17248722908567476,0.9934142400762827,175.0
0.17758604964852795,0.9293268393734192,175.0
0.18310562997126506,0.8661583649009772,175.0
0.18904617506880747,0.8039237526498078,175.0
0.1942030152485987,0.7535120338187503,175.0
0.19793884755624414,0.7183886818758177,175.0
0.20059074343691458,0.6938233341847855,175.0
0.20245179351023213,0.6766032518883066,175.0
0.20352061124015214,0.6666666666666666,175.0
0.20480959133999999,0.6545860779620357,175.0
0.20661148295705584,0.6373961820788895,175.0
0.20906993041874783,0.6129111384032236,175.0
0.21219710464074837,0.5779326719648218,175.0
0.2151986648640547,0.5275750725932875,175.0
0.21405035701965824,0.4645550686832213,175.0
0.20244172540736122,0.3991075196187733,175.0
0.1747332972351869,0.3319233157819729,175.0
0.13056598145878384,0.2648192323772527,175.0
0.0747476172502757,0.19874753741996162,175.0
0.012125480609569556,0.13354823799484766,175.0
0.11524361857135536,3.0,250.0
0.11562602897018448,2.975388779537779,250.0
0.11674060052275588,2.9050783265000253,250.0
0.11788913243456739,2.834805100986059,250.0
0.11907407184551153,2.7645735205261532,250.0
0.12029811099558707,2.694388637887546,250.0
0.12156421779249003,2.6242562475269375,250.0
0.12287567080051202,2.5541830121082243,250.0
0.1242360993414899,2.4841766131741303,250.0
0.12564952950172337,2.414245930909205,250.0
0.12712043695171685,2.344401258937175,250.0
0.12865380760490563,2.2746545612705735,250.0
0.13025520726110765,2.205019779872529,250.0
0.13193086149060448,2.135513202774758,250.0
0.13368774709795042,2.066153904251387,250.0
0.13553369653523104,1.9969642700271482,250.0
0.1374775165724761,1.9279706216278254,250.0
0.13952912232210216,1.8592039542870236,250.0
0.14169968727427176,1.790700801520405,250.0
0.1440018092297399,1.7225042353376518,250.0
0.1464496907895782,1.654665002197815,250.0
0.1490593312510222,1.5872427785428633,250.0
0.15184872427384738,1.5203075023413515,250.0
0.15483805174342818,1.4539406959922998,250.0
0.15804986585666825,1.3882366238597479,250.0
0.16150923420458846,1.3233030668170387,250.0
0.16524384339837758,1.2592613538263129,250.0
0.1692840389061229,1.1962452133349637,250.0
0.1736628000383496,1.134397900613805,250.0
0.1784156632201497,1.073867050068813,250.0
0.18358063119488155,1.0147968213829481,250.0
0.1891981249981883,0.9573172013762984,250.0
0.19531102420872587,0.9015307550351401,250.0
0.2019647498621777,0.8474975345320205,250.0
0.2092070806318353,0.7952189771970966,250.0
0.21708675665263502,0.7446211233685144,250.0
0.2256484108906409,0.695536072637403,250.0
0.2349175549275189,0.6476779959700462,250.0
0.24485899184027926,0.6006057055668446,250.0
0.25526178188751536,0.5536566029171768,250.0
0.2654103926066624,0.5058265528186453,250.0
0.2730999519734221,0.45576992631635505,250.0
0.2739913756104988,0.4174127611930569,250.0
0.26905938912877936,0.385722487735208,250.0
0.26100657837453145,0.36210895661308656,250.0
0.2527313261417344,0.3452531015576814,250.0
0.24560134383904872,0.3333333333333333,250.0
0.23741957539672234,0.32137288833359645,250.0
0.2240870443793361,0.3043104367145119,250.0
0.2021733758403139,0.2800302400334236,250.0
0.1674518379108188,0.2464352414779495,250.0
0.11408067330673745,0.19994814517523085,250.0
0.04123873476754881,0.1402079273041502,250.0
0.1461421601439818,3.0,325.0
0.14747071871093675,2.9339414447906256,325.0
0.14892944027188362,2.8639596747047746,325.0
0.15044348527232979,2.7940423096836557,325.0
0.1520170295945971,2.7241966645436246,325.0
0.15365467030603244,2.6544310674533573,325.0
0.15536147673136994,2.58475502429005,325.0
0.15714304830615008,2.515179413004878,325.0
0.15900558005159912,2.445716713875724,325.0
0.16095593655110255,2.37638128266058,325.0
0.16300173531065654,2.307189674968261,325.0
0.16515144032384288,2.2381610316163827,325.0
0.16741446649791494,2.1693175362974353,325.0
0.1698012952754679,2.1006849583992615,325.0
0.17232360122732115,2.032293295104074,325.0
0.1749943884886536,1.9641775275115223,325.0
0.17782813451895896,1.8963785048030775,325.0
0.18084093635606452,1.8289439676338142,325.0
0.1840506532327918,1.761929712848467,325.0
0.18747703085615766,1.6954008924090052,325.0
0.19114179466876605,1.6294334078420196,325.0
0.19506868643536596,1.5641153292620686,325.0
0.19928341586585924,1.4995482050042501,325.0
0.20381349253112793,1.435848045827359,325.0
0.20868790260326187,1.3731456603389502,325.0
0.21393660316189334,1.3115858982169988,325.0
0.21958983019904696,1.2513252546482423,325.0
0.22567726033183877,1.1925272590100295,325.0
0.23222713063280276,1.1353551915840565,325.0
0.23926549436168565,1.0799620171269313,325.0
0.24681584515908184,1.0264780017899264,325.0
0.2548993387002327,0.9749971633213003,325.0
0.2635357426176321,0.9255642126859943,325.0
0.27274503787345405,0.8781636416217442,325.0
0.2825492793707496,0.832711899898563,325.0
0.29297386052322144,0.7890522799395229,325.0
0.3040464944004532,0.7469504937694439,325.0
0.31579031641954614,0.7060872318371831,325.0
0.32820253537205196,0.6660421155315005,325.0
0.34119624449159736,0.6262608467074076,325.0
0.3544428004482554,0.5859937462920211,325.0
0.36693224823522114,0.5441937537944446,325.0
0.37574363633706587,0.4994068832249153,325.0
0.3733784849565051,0.45063308513832473,325.0
0.35643821728982544,0.4106345870331422,325.0
0.33359791434617914,0.38070609746321,325.0
0.31229626303710767,0.3591225035739369,325.0
0.29537984399000505,0.3439739729493509,325.0
0.28270840443687123,0.3333333333333333,325.0
0.2694894874119206,0.32268643146131315,325.0
0.2498865988642411,0.30750718415410366,325.0
0.22074362620465532,0.28582033419491204,325.0
0.17752982007612722,0.254705919771955,325.0
0.11402997153771949,0.20977255307000833,325.0
0.03534809358196903,0.1538790068738056,325.0
0.18909150961103283,3.0,400.0
0.19105911538063675,2.9324382277544205,400.0
0.19318612482378256,2.8624377512524304,400.0
0.19540896303138933,2.7924801494738425,400.0
0.19773551594425492,2.7225683333620303,400.0
0.2001745620027875,2.652705408281823,400.0
0.2027359013383978,2.582894685817429,400.0
0.20543050779105262,2.5131396977918783,400.0
0.20827070846823967,2.4434442141472,400.0
0.21127039663945268,2.3738122674174877,400.0
0.21444528507925098,2.3042481882621106,400.0
0.21781320857211509,2.234756659290376,400.0
0.22139448604168732,2.1653427986708285,400.0
0.22521235586599606,2.0960122926465847,400.0
0.22929349754429137,2.0267716055163234,400.0
0.23366865904748027,1.9576283160836836,400.0
0.23837340600683724,1.8885916562899814,400.0
0.24344900880297957,1.8196733765343562,400.0
0.24894347332507527,1.750889140497951,400.0
0.254912696093997,1.6822607845005757,400.0
0.2614216664909567,1.6138200015521615,400.0
0.2685455129653071,1.5456143993995533,400.0
0.27636992452907566,1.4777175630287949,400.0
0.28498992830494785,1.4102459516805508,400.0
0.29450488499733074,1.3433875385815346,400.0
0.3050054001264953,1.2774503285425611,400.0
0.3165443576449617,1.212941270218622,400.0
0.329082596788146,1.1506724339813936,400.0
0.3424167485831203,1.0918142134364286,400.0
0.3561542369510803,1.0376836700484473,400.0
0.36982238037675397,0.9892029691712673,400.0
0.38305161977554336,0.9464873690293534,400.0
0.39566465223729325,0.9089588374900888,400.0
0.40764199369503523,0.8757318384216533,400.0
0.4190506430492793,0.8459067607781537,400.0
0.42999168923848174,0.8186932869690203,400.0
0.4405730288806986,0.7934301504486982,400.0
0.4508975572514067,0.7695633182585426,400.0
0.46105803911572507,0.7466125773475212,400.0
0.47113269440894906,0.7241362525499997,400.0
0.481176053276597,0.7016943547350046,400.0
0.49119617262994547,0.6788057655539632,400.0
0.5010974608464283,0.6548913238176072,400.0
0.5105341446663959,0.6291908888634986,400.0
0.5185215662878175,0.600645828624049,400.0
0.5224088827588259,0.5678026545259078,400.0
0.5157312004301333,0.5291956444268352,400.0
0.48858065814781987,0.48577403651823053,400.0
0.4387347452227141,0.44120104056613274,400.0
0.3849894820944949,0.40387638564719064,400.0
0.34198301418814314,0.3765449736222359,400.0
0.31041910990023747,0.35704246480078317,400.0
0.2877762147264073,0.3431695910595053,400.0
0.2716912718687563,0.3333333333333333,400.0
0.25548912003258273,0.3234211945670127,400.0
0.23226778624103417,0.3091802446841236,400.0
0.19898196446689498,0.2886402437661322,400.0
0.15133178607348505,0.2588626137816297,400.0
0.08336418546045114,0.21543018692898963,400.0
0.0008393920856419655,0.16099047221442608,400.0
0.22571837454228352,3.0,450.0
0.2262237067748372,2.9868898908107964,450.0
0.22902668123990202,2.9162332486297537,450.0
0.23197327795207026,2.845557512972904,450.0
0.23507658064599884,2.774866913629364,450.0
0.2383511557062365,2.7041705901655684,450.0
0.24181313536379853,2.633485623369977,450.0
0.24548020159963294,2.5628418009508067,450.0
0.24937136609736407,2.4922890974457133,450.0
0.2535063591325063,2.4219093523201813,450.0
0.25790430511228635,2.351834263191189,450.0
0.2625811642994331,2.282272312764774,450.0
0.2675452057820935,2.2135466464991174,450.0
0.27278979147509447,2.1461415607306717,450.0
0.2782836967560869,2.0807422063132135,450.0
0.28396210287365714,2.018228263131317,450.0
0.28972561963351773,1.959568051197209,450.0
0.2954544744061399,1.9056057214629465,450.0
0.30103457991572236,1.8568413310133025,450.0
0.30638064760922745,1.8133421422647482,450.0
0.31144461155401876,1.774816360620716,450.0
0.3162106002289934,1.7407641002261465,450.0
0.3206845093788731,1.7106142043574906,450.0
0.3248843267960403,1.6838108532237115,450.0
0.32883335781890954,1.6598549013204058,450.0
0.33255618526964975,1.6383166820723385,450.0
0.33607653739042337,1.6188343161596255,450.0
0.3394163098564043,1.6011060766897813,450.0
0.34259522668486503,1.5848812050703602,450.0
0.34563082957420077,1.5699511391849372,450.0
0.3485386211985734,1.5561418715286313,450.0
0.351332269101675,1.5433075791586988,450.0
0.3540238225512066,1.5313254303359198,450.0
0.35662391958918066,1.5200913953124968,450.0
0.3591419746757443,1.509516880834854,450.0
0.36158634403702056,1.4995260269241093,450.0
0.3639644691148263,1.4900535308869736,450.0
0.3662829999608467,1.4810428894243486,450.0
0.36854790092895623,1.472444972191023,450.0
0.3707645410686078,1.4642168585969049,450.0
0.37293777145083445,1.4563208843701012,450.0
0.37507199141374253,1.4487238559305726,450.0
0.3771712054318679,1.4413963996753372,450.0
0.3792390720852863,1.4343124201746271,450.0
0.38127894634572557,1.4274486468178775,450.0
0.38329391622799475,1.4207842525696055,450.0
0.385286834666167,1.414300531863019,450.0
0.3872603473512997,1.4079806271748545,450.0
0.3892169171336947,1.4018092959057327,450.0
0.3911588455071695,1.3957727107482782,450.0
0.39308829160929853,1.389858288003483,450.0
0.39500728910030014,1.384054539328647,450.0
0.39691776123267797,1.378350943192673,450.0
0.39882153437611695,1.3727378329700473,450.0
0.40072035022398,1.3672062991286524,450.0
0.40261587687984024,1.3617481033813674,450.0
0.4045097189875302,1.3563556030444273,450.0
0.40640342705869026,1.3510216840913065,450.0
0.40829850612360996,1.3457397016540704,450.0
0.41019642382641314,1.340503426885866,450.0
0.4120986180645413,1.3353069992827555,450.0
0.4140065042723767,1.3301448836653376,450.0
0.41592148243231436,1.3250118311548884,450.0
0.41784494390470733,1.3199028435281157,450.0
0.4197782781185863,1.3148131405314016,450.0
0.4206883217615111,1.3124326732864366,450.0
0.4226386874323612,1.3073630137674246,450.0
0.4246023908365747,1.3023015811627858,450.0
0.42658086729405387,1.2972441273553408,450.0
0.42857558110714056,1.2921864994362575,450.0
0.43058803316376654,1.2871246154150178,450.0
0.4326197690075499,1.2820544403635044,450.0
0.43467238748901077,1.2769719626817355,450.0
0.4367475501320513,1.271873170151986,450.0
0.4388469913735405,1.2667540254221816,450.0
0.4409725298504713,1.2616104405537318,450.0
0.44312608095374645,1.2564382501952733,450.0
0.4453096708926307,1.2512331829286782,450.0
0.4475254525785308,1.2459908302238638,450.0
0.4497757236925677,1.2407066123636,450.0
0.45206294738812275,1.2353757405631982,450.0
0.4543897761824066,1.229993174348754,450.0
0.4567590797095611,1.2245535730875357,450.0
0.4591739772209656,1.219051240189581,450.0
0.4616378759011495,1.2134800582500238,450.0
0.4641545163956629,1.2078334128533064,450.0
0.4667280273546888,1.202104102106481,450.0
0.4693629913174602,1.1962842281495352,450.0
0.47206452501996204,1.1903650656679603,450.0
0.47483837827783953,1.1843369006881916,450.0
0.4776910569891852,1.178188830749244,450.0
0.48062997795572665,1.1719085140367507,450.0
0.4836636662466425,1.1654818502200344,450.0
0.48680201039052357,1.158892568390938,450.0
0.490056597600395,1.1521216863850943,450.0
0.4934411621008216,1.1451467882738378,450.0
0.4969721970124857,1.1379410388864226,450.0
0.5006698093021992,1.1304718074600106,450.0
0.5045589473188373,1.1226986921242927,450.0
0.5086712209031147,1.1145705914243242,450.0
0.513047706214651,1.1060211922463878,450.0
0.5177434767722208,1.0969616817136745,450.0
0.5228353695830769,1.0872682563735487,450.0
0.5284363605355558,1.0767590009067718,450.0
0.5347251234029381,1.0651463348967305,450.0
0.5420158743561684,1.0519247805551242,450.0
0.5495386223797767,1.0385465346486389,450.0
0.5562330015145889,1.0268604527211516,450.0
0.5622925104636857,1.0164556258672408,450.0
0.5679506323146537,1.0068847214341385,450.0
0.5738538827693064,0.9970445303648658,450.0
0.5818508881310998,0.983944579046364,450.0
0.5876562382999337,0.9745962410087629,450.0
0.5935836502914,0.9651875312680356,450.0
0.604084786264812,0.9488457961390874,450.0
0.6171344994444611,0.9290950050234458,450.0
0.6267076503221934,0.9149785379813031,450.0
0.6346665587788578,0.903470579314479,450.0
0.6416390587478462,0.8935520055230857,450.0
0.6479279261289848,0.884731600762932,450.0
0.6537065153807916,0.8767281823201516,450.0
0.6590849600704866,0.8693631044762488,450.0
0.6641383357813448,0.8625145513533522,450.0
0.6689205004377253,0.8560950844119912,450.0
0.6734716171036256,0.8500394430579504,450.0
0.6778225609834864,0.844297400248803,450.0
0.6819976555064863,0.8388293280861158,450.0
0.6860164517879296,0.8336033144611795,450.0
0.6898949308305077,0.8285932154186216,450.0
0.6936463419128222,0.8237772970894885,450.0
0.6972818032470401,0.8191372627962308,450.0
0.7008107423735841,0.814657539753495,450.0
0.7042412255782498,0.8103247454819047,450.0
0.7075802086867553,0.8061272815210252,450.0
0.7108337309946399,0.8020550191942197,450.0
0.714007067272175,0.798099053206189,450.0
0.7171048484119117,0.7942515059746377,450.0
0.720131158247152,0.7905053705004417,450.0
0.7230896120173529,0.7868543829041598,450.0
0.7259834205426291,0.7832929180565096,450.0
0.728815443115912,0.7798159034181975,450.0
0.7315882314616058,0.776418747311327,450.0
0.734304066470755,0.7730972788258476,450.0
0.7369649890927537,0.769847697132548,450.0
0.739572826487512,0.7666665284340046,450.0
0.742129214220056,0.7635505892527961,450.0
0.7446356152148851,0.7604969549192818,450.0
0.7470933359934534,0.7575029324021242,450.0
0.7495035406086036,0.7545660367974836,450.0
0.7518672626586114,0.7516839708718769,450.0
0.7541854156512718,0.7488546072078212,450.0
0.7564588019536106,0.7460759725665791,450.0
0.758688120524495,0.7433462341459407,450.0
0.7608739735954645,0.7406636874629492,450.0
0.763016872419331,0.7380267456541069,450.0
0.7651172422300131,0.735433929974415,450.0
0.7671754264556637,0.7328838613892988,450.0
0.7691916903209045,0.7303752530682829,450.0
0.7711662238563143,0.7279069037142978,450.0
0.7730991443975895,0.7254776916041646,450.0
0.7749904986120132,0.7230865692656645,450.0
0.7768402640814789,0.7207325587284094,450.0
0.778648350480845,0.7184147472799794,450.0
0.7804146003866145,0.7161322836654378,450.0
0.782138789708497,0.7138843747114918,450.0
0.78382062778176,0.7116702823144015,450.0
0.7854597571347528,0.7094893207551954,450.0
0.7870557529046054,0.7073408543458456,450.0
0.7886081219519739,0.7052242953367137,450.0
0.7901163016392948,0.7031391020980738,450.0
0.7915796582810872,0.7010847775466915,450.0
0.7929974852698052,0.699060867793173,450.0
0.794369000846439,0.6970669610174116,450.0
0.7956933455219787,0.6951026865441425,450.0
0.7969695791324327,0.6931677141117193,450.0
0.7981966774961279,0.6912617533385873,450.0
0.7993735286578627,0.6893845533757423,450.0
0.8004989287004661,0.6875359027353064,450.0
0.801571577084457,0.685715629301299,450.0
0.802590071478139,0.6839236005244124,450.0
0.8035529020519739,0.6821597237889776,450.0
0.8044584451800996,0.6804239469649038,450.0
0.8053049565061458,0.678716259140095,450.0
0.8060905633161399,0.6770366915370679,450.0
0.8068132561537147,0.6753853186184855,450.0
0.8074708796056688,0.6737622593865031,450.0
0.8080611221871784,0.6721676788716091,450.0
0.8085815052319477,0.6706017898198142,450.0
0.8090293706989816,0.6690648545705445,450.0
0.8094018677710819,0.6675571871385341,450.0
0.8096959381493706,0.6660791554720938,450.0
0.809908299893455,0.6646311838927227,450.0
0.8100354296740392,0.6632137556850068,450.0
0.8100735432683691,0.661827415814771,450.0
0.8100185741306046,0.6604727737228367,450.0
0.8098661498515326,0.6591505061226751,450.0
0.8096115662906329,0.6578613597162054,450.0
0.8092497591759092,0.6566061536784563,450.0
0.808775272935138,0.655385781726184,450.0
0.808182226517634,0.6542012135091338,450.0
0.8074642759790288,0.6530534949493231,450.0
0.8066145735834416,0.6519437470414069,450.0
0.8056257232335122,0.6508731624105718,450.0
0.8044897320461714,0.6498429987025528,450.0
0.8031979580020252,0.6488545674965255,450.0
0.801741053689533,0.6479092169686774,450.0
0.8001089063583005,0.6470083058470514,450.0
0.7982905747509866,0.6461531652652726,450.0
0.796274223570038,0.6453450437961467,450.0
0.7940470569613047,0.644585029092946,450.0
0.7915952531449612,0.6438739369164671,450.0
0.7889039033275507,0.6432121545515298,450.0
0.7859569593799686,0.6425994201619495,450.0
0.7827371964915916,0.6420345117278962,450.0
0.7792261991771438,0.6415148075760297,450.0
0.7754043814420654,0.6410356633250323,450.0
0.771251054282816,0.6405895242631788,450.0
0.7667445548859633,0.6401646530423376,450.0
0.7618624494582706,0.6397432922719138,450.0
0.7565818099092435,0.6392989871529136,450.0
0.7508795314702886,0.6387926424279852,450.0
0.7447325744184271,0.638166640406373,450.0
0.7381178211673793,0.6373359323833293,450.0
0.7310109399615716,0.6361743219240926,450.0
0.7253398573663401,0.6349753987647967,450.0
0.7172891055321516,0.6327225461246115,450.0
0.7086040026014593,0.629348858282804,450.0
0.6991051407039862,0.6242300789454643,450.0
0.6883459009269004,0.6163635017925827,450.0
0.675168886931467,0.6041364737751586,450.0
0.6585751209113275,0.5871709235685246,450.0
0.6409195136476071,0.5700629086011525,450.0
0.6232554756217249,0.5547482471340731,450.0
0.5737797657806374,0.5189752417709971,450.0
0.5116178784085362,0.4815183729247705,450.0
0.43475158720637913,0.4391614303985571,450.0
0.3672486650673635,0.40264692528662865,450.0
0.3185712629014488,0.37601098712778735,450.0
0.2840298072602674,0.35681242396211843,450.0
0.2596618923240946,0.3430888183301757,450.0
0.24251146567778384,0.3333333333333333,450.0
0.22534688160457203,0.32348622190301524,450.0
0.20090763931691957,0.30931666625253035,450.0
0.16613980958763697,0.28884788471876355,450.0
0.116764982049195,0.2591369414996988,450.0
0.04687212728734565,0.21577793325059505,450.0
0.2733291293417307,3.0,500.0
