tilde_eps,beta0,sigma,branch
0.22242669619530306,600.0,0.0,forward
0.22243452174164977,600.0257688230442,0.0,forward
0.2224467461906546,600.0660228384535,0.0,forward
0.2224715733888051,600.1264038582153,0.0,forward
0.22250419911404895,600.2146084538416,0.0,forward
0.22255186739664035,600.3434577272766,0.0,forward
0.22262151948099093,600.531680746264,0.0,forward
0.22272330608212157,600.8066369331548,0.0,forward
0.22287207876452553,601.2082929325712,0.0,forward
0.22308958244723476,601.79503201994,0.0,forward
0.2233519833655491,602.5021359934034,0.0,forward
0.22361468756347522,603.2092399727288,0.0,forward
0.2238776945207913,603.916343957895,0.0,forward
0.22414100371723428,604.6234479488814,0.0,forward
0.22440461459666666,605.3305519456676,0.0,forward
0.2246685266065529,606.0376559482329,0.0,forward
0.22493273919781426,606.7447599565571,0.0,forward
0.22519725182510733,607.4518639706201,0.0,forward
0.2254620639464513,608.1589679904017,0.0,forward
0.22572717502341524,608.8660720158819,0.0,forward
0.22599258452104445,609.5731760470406,0.0,forward
0.226258291907812,610.2802800838583,0.0,forward
0.22652429665553098,610.9873841263151,0.0,forward
0.22679059823947204,611.6944881743913,0.0,forward
0.2270571961382122,612.4015922280673,0.0,forward
0.2273240898336652,613.1086962873239,0.0,forward
0.22759127881098912,613.8158003521417,0.0,forward
0.22785876255864104,614.5229044225011,0.0,forward
0.22812654056834086,615.2300084983834,0.0,forward
0.22839461233492495,615.9371125797693,0.0,forward
0.228662977356577,616.6442166666397,0.0,forward
0.22893163513439696,617.3513207589759,0.0,forward
0.22920058517287775,618.0584248567591,0.0,forward
0.22946982697941273,618.7655289599704,0.0,forward
0.22973936006457676,619.4726330685913,0.0,forward
0.2300091839419952,620.1797371826034,0.0,forward
0.2302792981283005,620.886841301988,0.0,forward
0.23054970214308912,621.5939454267269,0.0,forward
0.230820395509034,622.3010495568018,0.0,forward
0.2310913777516562,623.0081536921945,0.0,forward
0.23136264839954557,623.7152578328868,0.0,forward
0.23163420698403844,624.4223619788607,0.0,forward
0.23190605303945352,625.1294661300985,0.0,forward
0.2321781861029834,625.8365702865822,0.0,forward
0.23245060571458678,626.5436744482939,0.0,forward
0.2327233114171304,627.2507786152162,0.0,forward
0.2329963027561874,627.9578827873312,0.0,forward
0.2332695792800974,628.6649869646216,0.0,forward
0.23354314054009334,629.3720911470699,0.0,forward
0.2338169860899461,630.0791953346587,0.0,forward
0.23409111548624326,630.7862995273708,0.0,forward
0.23436552828820353,631.4934037251891,0.0,forward
0.23464022405776802,632.2005079280963,0.0,forward
0.23491520235944172,632.9076121360755,0.0,forward
0.2351904627603909,633.6147163491097,0.0,forward
0.23546600483039484,634.321820567182,0.0,forward
0.23574182814178424,635.0289247902757,0.0,forward
0.23601793226948206,635.736029018374,0.0,forward
0.23629431679086738,636.4431332514603,0.0,forward
0.23657098128591575,637.150237489518,0.0,forward
0.23684792533716456,637.8573417325306,0.0,forward
0.23712514852939473,638.5644459804818,0.0,forward
0.23740265045011494,639.2715502333551,0.0,forward
0.23768043068909003,639.9786544911344,0.0,forward
0.2379584888386142,640.6857587538034,0.0,forward
0.23823682449332173,641.392863021346,0.0,forward
0.2385154372502198,642.0999672937462,0.0,forward
0.23879432670875989,642.807071570988,0.0,forward
0.23907349247064147,643.5141758530556,0.0,forward
0.23935293413998557,644.221280139933,0.0,forward
0.23963265132314404,644.9283844316046,0.0,forward
0.2399126436288337,645.6354887280547,0.0,forward
0.24019291066798987,646.3425930292677,0.0,forward
0.24047345205381285,647.0496973352281,0.0,forward
0.24075426740176273,647.7568016459203,0.0,forward
0.24103535632955414,648.463905961329,0.0,forward
0.24131671845703012,649.1710102814388,0.0,forward
0.24159835340624336,649.8781146062346,0.0,forward
0.24188026080149128,650.585218935701,0.0,forward
0.24216244026911846,651.2923232698231,0.0,forward
0.2424448914377106,651.9994276085857,0.0,forward
0.24272761393791312,652.7065319519738,0.0,forward
0.24301060740252123,653.4136362999726,0.0,forward
0.24329387146635303,654.1207406525672,0.0,forward
0.24357740576640902,654.8278450097428,0.0,forward
0.24386120994160645,655.5349493714846,0.0,forward
0.24414528363306023,656.2420537377781,0.0,forward
0.24442962648379274,656.9491581086086,0.0,forward
0.24471423813896673,657.6562624839617,0.0,forward
0.2449991182455975,658.3633668638228,0.0,forward
0.24528426645275683,659.0704712481776,0.0,forward
0.2455696824115324,659.7775756370116,0.0,forward
0.24585536577486292,660.4846800303109,0.0,forward
0.24614131619771043,661.1917844280609,0.0,forward
0.2464275333369335,661.8988888302478,0.0,forward
0.24671401685130057,662.6059932368572,0.0,forward
0.24700076640148674,663.3130976478752,0.0,forward
0.24728778165003348,664.0202020632879,0.0,forward
0.24757506226135373,664.7273064830814,0.0,forward
0.24786260790173997,665.4344109072418,0.0,forward
0.2481504182393222,666.1415153357555,0.0,forward
0.24843849294400105,666.8486197686085,0.0,forward
0.2487268316875621,667.5557242057873,0.0,forward
0.24901543414358307,668.2628286472784,0.0,forward
0.24930429998740725,668.9699330930681,0.0,forward
0.24959342889614453,669.677037543143,0.0,forward
0.24988282054872318,670.3841419974897,0.0,forward
0.25017247462571723,671.0912464560948,0.0,forward
0.2504623908095346,671.7983509189451,0.0,forward
0.2507525687842766,672.5054553860272,0.0,forward
0.25104300823577247,673.212559857328,0.0,forward
0.25133370885150347,673.9196643328344,0.0,forward
0.25162467032068675,674.6267688125332,0.0,forward
0.25191589233417705,675.3338732964116,0.0,forward
0.2522073745845021,676.0409777844566,0.0,forward
0.2524991167658688,676.748082276655,0.0,forward
0.25279111857412373,677.4551867729944,0.0,forward
0.2530833797066874,678.1622912734616,0.0,forward
0.2533758998626004,678.8693957780441,0.0,forward
0.2536686787426045,679.5765002867291,0.0,forward
0.2539617160489309,680.283604799504,0.0,forward
0.2542550114853951,680.9907093163563,0.0,forward
0.25454856475745447,681.6978138372734,0.0,forward
0.25484237557208206,682.4049183622429,0.0,forward
0.25513644363778937,683.1120228912523,0.0,forward
0.25543076866462633,683.8191274242893,0.0,forward
0.2557253503641862,684.5262319613415,0.0,forward
0.2560201884496119,685.2333365023968,0.0,forward
0.25631528263542386,685.9404410474428,0.0,forward
0.256610632637804,686.6475455964675,0.0,forward
0.25690623817430464,687.3546501494587,0.0,forward
0.2572020989639897,688.0617547064045,0.0,forward
0.257498214727328,688.7688592672927,0.0,forward
0.25779458518637477,689.4759638321113,0.0,forward
0.25809121006450153,690.1830684008487,0.0,forward
0.25838808908655087,690.8901729734928,0.0,forward
0.25868522197879146,691.5972775500319,0.0,forward
0.2589826084689075,692.3043821304542,0.0,forward
0.259280248285985,693.011486714748,0.0,forward
0.2595781411605313,693.7185913029017,0.0,forward
0.25987628682437175,694.4256958949037,0.0,forward
0.26017468501071933,695.1328004907424,0.0,forward
0.2604733354542448,695.8399050904063,0.0,forward
0.2607722378908243,696.547009693884,0.0,forward
0.26107139205780594,697.2541143011639,0.0,forward
0.2613707976937902,697.9612189122348,0.0,forward
0.2616704545387716,698.6683235270854,0.0,forward
0.2619703623340215,699.3754281457043,0.0,forward
0.26227052082211355,700.0825327680803,0.0,forward
0.26257092974696433,700.7896373942024,0.0,forward
0.2628715888536837,701.4967420240591,0.0,forward
0.26317249788885066,702.2038466576397,0.0,forward
0.26347365660010663,702.9109512949329,0.0,forward
0.2637750647364525,703.6180559359278,0.0,forward
0.26407672204822485,704.3251605806136,0.0,forward
0.2643786282868266,705.0322652289791,0.0,forward
0.26468078320509847,705.7393698810137,0.0,forward
0.26498318655695624,706.4464745367063,0.0,forward
0.26528583809763856,707.1535791960464,0.0,forward
0.26558873758348434,707.8606838590231,0.0,forward
0.26589188477218667,708.5677885256258,0.0,forward
0.26619527942257365,709.2748931958439,0.0,forward
0.26649892129455643,709.9819978696667,0.0,forward
0.2668028101494386,710.6891025470836,0.0,forward
0.26710694574951604,711.3962072280842,0.0,forward
0.26741132785832405,712.1033119126581,0.0,forward
0.2677159562405996,712.8104166007947,0.0,forward
0.2680208306620971,713.5175212924837,0.0,forward
0.26832595088988753,714.2246259877147,0.0,forward
0.26863131669204654,714.9317306864775,0.0,forward
0.26893692783783774,715.6388353887618,0.0,forward
0.2692427840976019,716.3459400945574,0.0,forward
0.26954888524288845,717.053044803854,0.0,forward
0.2698552310461658,717.7601495166416,0.0,forward
0.2701618212812556,718.46725423291,0.0,forward
0.2704686557228392,719.1743589526493,0.0,forward
0.2707757341468427,719.8814636758493,0.0,forward
0.2710830563301709,720.5885684025002,0.0,forward
0.2713906220508359,721.2956731325919,0.0,forward
0.27169843108788594,722.0027778661146,0.0,forward
0.27200648322152926,722.7098826030584,0.0,forward
0.27231477823288786,723.4169873434136,0.0,forward
0.2726233159041587,724.1240920871702,0.0,forward
0.27293209601865526,724.8311968343187,0.0,forward
0.2732411183606254,725.5383015848493,0.0,forward
0.2735503827153791,726.2454063387522,0.0,forward
0.2738598888692678,726.952511096018,0.0,forward
0.2741696366095992,727.6596158566371,0.0,forward
0.27447962572473905,728.3667206205997,0.0,forward
0.2747898560039697,729.0738253878966,0.0,forward
