eps1,eps2,beta0,branch
0.0,2.3560550483400395,2000.0,forward
0.0,2.3534300074488717,1998.8610222523512,forward
0.0,2.345291779838755,1995.3254926546629,forward
0.0,2.3371689469149306,1991.7899630571112,forward
0.0,2.329061503807772,1988.254433459736,forward
0.0,2.320969445641217,1984.7189038625772,forward
0.0,2.3128927675325146,1981.1833742656752,forward
0.0,2.3048314645927173,1977.6478446690705,forward
0.0,2.2967855319260915,1974.1123150728038,forward
0.0,2.288754964630642,1970.5767854769156,forward
0.0,2.280739757797711,1967.041255881447,forward
0.0,2.2727399065122,1963.5057262864389,forward
0.0,2.264755405852442,1959.9701966919329,forward
0.0,2.2567862508902574,1956.4346670979703,forward
0.0,2.2488324366908863,1952.8991375045928,forward
0.0,2.240893958312994,1949.3636079118423,forward
0.0,2.232970810808741,1945.8280783197608,forward
0.0,2.2250629892236344,1942.2925487283906,forward
0.0,2.2171704885966483,1938.7570191377738,forward
0.0,2.2092933039601053,1935.2214895479533,forward
0.0,2.2014314303398304,1931.6859599589716,forward
0.0,2.193584862754925,1928.1504303708718,forward
0.0,2.1857535962178116,1924.614900783697,forward
0.0,2.1779376257345,1921.0793711974907,forward
0.0,2.170136946304137,1917.543841612296,forward
0.0,2.1623515529193496,1914.0083120281572,forward
0.0,2.1545814405659764,1910.472782445118,forward
0.0,2.1468266042233553,1906.9372528632223,forward
0.0,2.139087038863948,1903.4017232825147,forward
0.0,2.1313627394536807,1899.8661937030397,forward
0.0,2.1236537009517784,1896.3306641248419,forward
0.0,2.1159599183106663,1892.7951345479664,forward
0.0,2.10828138647607,1889.2596049724584,forward
0.0,2.100618100387016,1885.7240753983633,forward
0.0,2.0929700549758117,1882.1885458257266,forward
0.0,2.0853372451680725,1878.6530162545941,forward
0.0,2.0777196658824946,1875.117486685012,forward
0.0,2.0701173120311678,1871.5819571170261,forward
0.0,2.0625301785193564,1868.0464275506833,forward
0.0,2.0549582602456007,1864.5108979860304,forward
0.0,2.047401552101529,1860.9753684231139,forward
0.0,2.0398600489721717,1857.4398388619811,forward
0.0,2.032333745735475,1853.9043093026796,forward
0.0,2.024822637262879,1850.368779745257,forward
0.0,2.017326718418836,1846.8332501897607,forward
0.0,2.0098459840609455,1843.2977206362393,forward
0.0,2.0023804290401177,1839.7621910847408,forward
0.0,1.9949300482002956,1836.226661535314,forward
0.0,1.9874948363785718,1832.6911319880076,forward
0.0,1.9800747884052474,1829.1556024428705,forward
0.0,1.9726698991036735,1825.6200728999522,forward
0.0,1.965280163290418,1822.0845433593022,forward
0.0,1.957905575775132,1818.5490138209705,forward
0.0,1.9505461313605574,1815.0134842850068,forward
0.0,1.9432018248425098,1811.4779547514618,forward
0.0,1.9358726510099302,1807.9424252203858,forward
0.0,1.9285586046449334,1804.4068956918297,forward
0.0,1.9212596805225757,1800.8713661658448,forward
0.0,1.913975873410974,1797.3358366424823,forward
0.0,1.9067071780714773,1793.8003071217938,forward
0.0,1.8994535892583084,1790.2647776038314,forward
0.0,1.892215101718868,1786.7292480886472,forward
0.0,1.8849917101935312,1783.1937185762938,forward
0.0,1.877783409415789,1779.6581890668238,forward
0.0,1.8705901941119802,1776.1226595602902,forward
0.0,1.8634120590016343,1772.5871300567467,forward
0.0,1.8562489987973176,1769.0516005562465,forward
0.0,1.8491010082044634,1765.5160710588436,forward
0.0,1.841968081921574,1761.9805415645924,forward
0.0,1.8348502146402128,1758.4450120735473,forward
0.0,1.8277474010448012,1754.909482585763,forward
